Date,AAPL,ABBV,AEP,AMT,AMZN,APD,BA,BAC,CMCSA,COP,COST,CVX,DIS,DUK,ECL,EOG,EQIX,GOOG,GS,HD,JPM,KO,LIN,META,MRK,MSFT,NEE,NKE,NVDA,PEP,PFE,PG,PLD,RTX,SHW,SO,T,TSLA,UNH,V,VZ,WMT
2016-05-09,21.143068313598633,42.18638229370117,46.3034782409668,83.04887390136719,33.98749923706055,103.2618408203125,119.56803131103516,11.21603012084961,22.393552780151367,30.644481658935547,125.38640594482422,65.60855102539062,97.09574127197266,53.18052291870117,103.60221862792969,57.25282287597656,281.08203125,35.354736328125,128.24771118164062,107.23991394042969,46.91242599487305,33.069034576416016,95.17853546142578,118.3115463256836,37.94855880737305,44.05603790283203,23.027477264404297,51.47542953491211,0.8636587262153625,77.74430084228516,20.710575103759766,62.51668167114258,35.564361572265625,49.89543151855469,88.6986312866211,32.84111404418945,14.589274406433105,13.928000450134277,112.61920928955078,72.92057800292969,30.03000831604004,19.258075714111328
2016-05-10,21.2866268157959,42.21287536621094,46.133277893066406,83.46157836914062,35.153499603271484,104.50000762939453,121.93943786621094,11.464564323425293,22.838361740112305,31.542118072509766,126.20492553710938,66.2100601196289,98.25714874267578,53.18052291870117,105.07373046875,58.04639434814453,281.13970947265625,35.864559173583984,131.4313201904297,108.23959350585938,47.54854202270508,33.441829681396484,96.01217651367188,119.56173706054688,38.35539245605469,44.891944885253906,23.16499137878418,51.896202087402344,0.880305290222168,78.69692993164062,20.698326110839844,62.790771484375,35.910301208496094,50.927330017089844,89.97528839111328,33.05869674682617,14.758221626281738,13.912667274475098,113.38318634033203,73.83417510986328,30.300453186035156,19.213390350341797
2016-05-11,21.07927131652832,41.524131774902344,46.246742248535156,82.33245849609375,35.6614990234375,103.12425231933594,121.36458587646484,11.384393692016602,22.63054656982422,32.13808822631836,124.14599609375,66.12504577636719,94.28445434570312,53.466163635253906,104.58917999267578,58.47594451904297,280.7851867675781,35.4732666015625,129.80288696289062,105.7128677368164,47.37227249145508,33.22983932495117,95.51532745361328,118.58937072753906,38.095863342285156,44.9183349609375,23.18242835998535,49.976417541503906,0.8827533721923828,78.06922912597656,20.48826026916504,62.5395622253418,35.316192626953125,50.64817428588867,89.36736297607422,33.1773681640625,14.709413528442383,13.93066692352295,110.93846130371094,72.19052124023438,30.071168899536133,18.6844482421875
2016-05-12,20.58481216430664,41.38505554199219,46.56588363647461,82.97876739501953,35.89649963378906,103.79043579101562,122.66034698486328,11.33629035949707,22.699810028076172,32.174869537353516,123.80843353271484,66.7657699584961,93.74983978271484,53.85805892944336,105.09163665771484,58.606971740722656,285.34295654296875,35.37507247924805,128.7036895751953,105.62628173828125,47.341609954833984,33.50030517578125,95.65849304199219,119.34346008300781,37.96257781982422,45.32309341430664,23.4652042388916,50.83549499511719,0.8707578182220459,78.349853515625,20.506790161132812,62.73747253417969,35.684696197509766,50.57838439941406,90.03002166748047,33.444068908691406,14.848322868347168,13.8186674118042,110.13203430175781,72.74153137207031,30.25929832458496,18.808238983154297
2016-05-13,20.625829696655273,41.060543060302734,46.53042984008789,82.30907440185547,35.49599838256836,102.69705200195312,120.56155395507812,11.12784194946289,22.54668617248535,31.65247344970703,121.93512725830078,65.86353302001953,92.65296936035156,53.65216064453125,104.09571075439453,57.26011276245117,283.8264465332031,35.25208282470703,126.48088073730469,104.79193878173828,46.90473937988281,33.149436950683594,94.27751159667969,118.87711334228516,37.79424285888672,44.94473648071289,23.38966941833496,50.23938751220703,1.0031951665878296,76.93202209472656,20.506790161132812,61.839149475097656,35.677162170410156,49.985164642333984,89.1150894165039,33.26405334472656,14.698151588439941,13.840666770935059,109.50387573242188,71.7515640258789,29.947702407836914,18.27086639404297
2016-05-16,21.391441345214844,41.35856246948242,46.757362365722656,82.9164810180664,35.53300094604492,103.9424819946289,122.40484619140625,11.167926788330078,22.605030059814453,32.43238830566406,123.0236587524414,66.87690734863281,92.50550842285156,53.8049430847168,106.01579284667969,58.74530029296875,287.31280517578125,35.532779693603516,126.51342010498047,106.5315170288086,47.25730895996094,33.346805572509766,95.11115264892578,117.74598693847656,38.3343391418457,45.604644775390625,23.529123306274414,50.09035110473633,1.0328165292739868,76.89510345458984,20.624181747436523,62.143672943115234,36.16599655151367,50.75784683227539,90.48597717285156,33.297393798828125,14.746954917907715,13.88599967956543,110.8960189819336,72.65745544433594,30.118188858032227,18.574722290039062
2016-05-17,21.302570343017578,39.90156936645508,45.75031661987305,82.0443344116211,34.76350021362305,103.45735168457031,120.96307373046875,11.232067108154297,22.03260612487793,32.211666107177734,121.17567443847656,66.56639099121094,92.11837768554688,52.815185546875,105.00189971923828,59.385982513427734,282.136962890625,35.023956298828125,125.9190444946289,103.90245819091797,47.25730895996094,32.71085739135742,94.5469741821289,116.43626403808594,38.10287094116211,44.75404357910156,23.199851989746094,50.055294036865234,1.0350192785263062,75.5954360961914,20.407939910888672,61.37477493286133,35.72229766845703,49.8804817199707,88.96613311767578,32.7239875793457,14.683134078979492,13.644000053405762,109.97924041748047,71.71421813964844,29.9241886138916,18.315879821777344
2016-05-18,21.546384811401367,40.04064178466797,44.89216995239258,81.41358184814453,34.872501373291016,102.60294342041016,119.53041076660156,11.777233123779297,22.014375686645508,32.071067810058594,119.22637939453125,66.11048889160156,91.25194549560547,51.39554977416992,104.08674621582031,58.54145431518555,281.9143371582031,35.043792724609375,130.2262725830078,103.721435546875,49.081382751464844,32.51350021362305,93.28385925292969,116.73394012451172,38.348384857177734,45.01985549926758,22.858966827392578,49.196189880371094,1.061457872390747,74.51727294921875,20.49443244934082,60.788612365722656,35.24099349975586,49.825279235839844,88.78018188476562,32.03057098388672,14.435344696044922,14.07800006866455,110.7856674194336,72.3119125366211,29.624361038208008,17.76725196838379
2016-05-19,21.464353561401367,39.25917053222656,45.2822265625,80.8061752319336,34.92599868774414,102.60294342041016,116.87500762939453,11.648955345153809,21.966976165771484,32.08584976196289,120.41618347167969,65.97173309326172,90.7081298828125,51.66404342651367,104.2213363647461,58.30120086669922,282.738525390625,34.73086166381836,125.95977783203125,103.68994140625,48.58320999145508,32.396541595458984,92.6775894165039,115.90046691894531,38.28525161743164,44.58570098876953,22.93450355529785,50.0026969909668,1.0661088228225708,74.82742309570312,20.624181747436523,61.047420501708984,34.985286712646484,49.43385696411133,87.89915466308594,32.450618743896484,14.431595802307129,14.347332954406738,110.35272979736328,71.79827117919922,29.177547454833984,19.46941566467285
2016-05-20,21.696773529052734,39.53070831298828,45.24677276611328,80.99308776855469,35.13999938964844,102.4146499633789,116.24536895751953,11.640941619873047,22.517518997192383,32.2486457824707,120.40778350830078,65.93211364746094,91.97091674804688,51.68417739868164,104.72377014160156,58.912757873535156,284.34564208984375,35.198020935058594,125.80508422851562,103.78439331054688,48.675167083740234,32.12607955932617,92.6944351196289,116.43626403808594,38.65700912475586,44.85151672363281,23.112701416015625,49.51178741455078,1.0852041244506836,73.91913604736328,20.84661293029785,60.91801834106445,35.22593307495117,49.729923248291016,88.28630065917969,32.43729019165039,14.435344696044922,14.685333251953125,111.15067291259766,72.53604125976562,29.195192337036133,19.65511131286621
2016-05-23,21.97248077392578,39.27241897583008,44.64395523071289,81.10989379882812,34.837501525878906,102.5811996459961,116.41873931884766,11.600854873657227,22.535755157470703,32.25605392456055,119.83392333984375,65.66121673583984,91.41786193847656,51.11363983154297,104.84038543701172,59.16756057739258,285.5137939453125,34.925270080566406,126.57042694091797,103.4459228515625,48.63684844970703,32.14069747924805,93.0396728515625,115.0670166015625,38.52375030517578,44.32874298095703,22.853153228759766,49.082252502441406,1.0869171619415283,74.15545654296875,20.803367614746094,61.05501937866211,35.000328063964844,49.62956619262695,89.2343978881836,32.06391525268555,14.386541366577148,14.414667129516602,110.70923614501953,72.10646057128906,28.889488220214844,19.55381965637207
2016-05-24,22.30743408203125,40.199581146240234,45.12621307373047,81.99761199951172,35.209999084472656,103.76142883300781,116.34574890136719,11.769220352172852,22.765443801879883,32.15986251831055,120.30655670166016,66.19639587402344,91.72203826904297,51.67747116088867,106.37464141845703,60.055763244628906,293.85577392578125,35.7113151550293,128.31285095214844,104.97297668457031,49.46458053588867,32.43309020996094,93.27543640136719,116.7835464477539,39.0007209777832,45.71097946166992,23.221158981323242,49.60820007324219,1.1133018732070923,74.65022277832031,21.06905174255371,61.64122772216797,35.54179382324219,50.13639450073242,88.9905014038086,32.31059646606445,14.45412540435791,14.52733325958252,112.55130767822266,74.13302612304688,29.148155212402344,19.76202392578125
2016-05-25,22.699352264404297,40.543968200683594,44.984371185302734,82.6750717163086,35.41749954223633,104.03661346435547,117.5867691040039,11.961630821228027,22.823776245117188,33.22544479370117,121.96887969970703,67.24030303955078,92.04464721679688,51.650611877441406,106.33876037597656,60.48530960083008,296.3409118652344,35.968204498291016,131.29290771484375,104.84701538085938,50.21566390991211,32.440406799316406,93.9996109008789,116.97207641601562,39.68112564086914,46.180580139160156,23.068143844604492,49.082252502441406,1.1086382865905762,74.65022277832031,21.2235107421875,62.029476165771484,35.4139518737793,50.342140197753906,88.7862777709961,32.37061309814453,14.499170303344727,14.638667106628418,113.255859375,73.83415985107422,29.3068904876709,19.829544067382812
2016-05-26,22.879356384277344,40.99430847167969,45.62264633178711,81.99761199951172,35.74549865722656,103.59490203857422,117.99739837646484,11.785253524780273,22.71076011657715,33.09963607788086,126.3315200805664,67.06190490722656,91.9985580444336,52.328548431396484,106.05167388916016,59.917449951171875,300.7810363769531,35.91117477416992,129.64004516601562,105.51609802246094,49.840126037597656,32.666996002197266,93.1070327758789,118.5397720336914,39.55486297607422,45.9767951965332,23.378379821777344,48.950748443603516,1.1204193830490112,75.24836730957031,21.272937774658203,61.83152770996094,35.428993225097656,50.38731384277344,87.92356872558594,32.81733703613281,14.581769943237305,15.008000373840332,112.88237762451172,73.77812194824219,29.48914909362793,19.933645248413086
